county,region,adult_population,vaccination_rate,asthma_visits,asthma_visit_rate
Schauzer County,North,169110,84.4,1587,938.4
Quarto County,North,154751,73.3,2664,1721.5
Clifton County,North,133101,80.6,1254,942.1
Creek County,North,152030,68.5,1817,1195.2
Midtown County,Central,166571,88,1495,897.5
Cascade County,Central,96339,80.6,1644,1706.5
Mustard County,Central,156388,85,1457,931.7
Hydrant County,Central,108906,84.7,1610,1478.3
Dove County,South,46520,79.6,312,670.7
French County,South,148297,93.8,2590,1746.5
Green County,South,99380,77.5,516,519.2
Corinth County,South,72111,83.3,422,585.2
